DONG_CODE,GU,DONG,AREA,CAR_SHR_NUM,SAFE_DLVR_NUM,ANI_HSPT_NUM,LEISURE_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,STARBUCKS_NUM,MC_NUM,NOISE_VIBRATION_NUM,PARK_NUM,COLIVING_NUM,MZ_POP_CNT,VEGAN_CNT,교통,교육,육아,치안,건강,편의시설,km_cluster
1147056000,양천구,신월1동,0.65,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,5327,1.4285714285714286,7.688571428571429,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,3
1147057000,양천구,신월2동,0.61,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,5398,1.4285714285714286,7.688571428571429,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,3
1147058000,양천구,신월3동,0.87,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,3966,1.4285714285714286,3.968571428571429,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,8
1147059000,양천구,신월4동,0.52,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,4405,1.4285714285714286,5.828571428571428,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,3
1147060000,양천구,신월5동,0.69,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,4156,1.4285714285714286,5.828571428571428,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,3
1147061000,양천구,신월6동,0.41,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,4107,1.4285714285714286,6.758571428571429,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,5
1147061100,양천구,신월7동,1.19,2.2857142857142856,0.7142857142857143,1.7142857142857142,1.0,0.2857142857142857,1.8571428571428568,1.7142857142857142,0.2857142857142857,0.2857142857142857,174.71428571428572,0.1428571428571428,0.0,5098,1.4285714285714286,14.19857142857143,25.769999999999996,32.142857142857146,26.857142857142854,23.66,11.49142857142857,8
1147062000,양천구,신정1동,0.7,4.333333333333333,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.6666666666666666,8.166666666666666,4.5,0.6666666666666666,0.1666666666666666,203.83333333333331,0.1666666666666666,0.0,4276,4.666666666666667,9.906666666666666,105.10333333333334,50.66666666666666,26.499999999999996,48.51,17.635,5
1147063000,양천구,신정2동,0.52,4.333333333333333,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.6666666666666666,8.166666666666666,4.5,0.6666666666666666,0.1666666666666666,203.83333333333331,0.1666666666666666,0.0,4094,4.666666666666667,8.046666666666667,105.10333333333334,50.66666666666666,26.499999999999996,48.51,17.635,7
1147064000,양천구,신정3동,2.72,4.333333333333333,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.6666666666666666,8.166666666666666,4.5,0.6666666666666666,0.1666666666666666,203.83333333333331,0.1666666666666666,0.0,12375,4.666666666666667,31.29666666666667,105.10333333333334,50.66666666666666,26.499999999999996,48.51,17.635,8
1147065000,양천구,신정4동,1.01,4.333333333333333,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.6666666666666666,8.166666666666666,4.5,0.6666666666666666,0.1666666666666666,203.83333333333331,0.1666666666666666,0.0,10373,4.666666666666667,5.256666666666668,105.10333333333334,50.66666666666666,26.499999999999996,48.51,17.635,3
1147067000,양천구,신정6동,0.96,4.333333333333333,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.6666666666666666,8.166666666666666,4.5,0.6666666666666666,0.1666666666666666,203.83333333333331,0.1666666666666666,0.0,5653,4.666666666666667,8.976666666666667,105.10333333333334,50.66666666666666,26.499999999999996,48.51,17.635,3
1147068000,양천구,신정7동,1.21,4.333333333333333,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.6666666666666666,8.166666666666666,4.5,0.6666666666666666,0.1666666666666666,203.83333333333331,0.1666666666666666,0.0,6464,4.666666666666667,8.046666666666667,105.10333333333334,50.66666666666666,26.499999999999996,48.51,17.635,3
1150051000,강서구,염창동,1.74,5.75,0.0,3.75,3.25,4.25,20.0,9.25,2.0,1.0,1685.0,1.5,0.0,12834,4.5,26.905,106.5225,92.5,35.0,75.9,33.39,3
1150052000,강서구,등촌1동,0.64,5.0,0.0,1.6666666666666667,1.0,0.6666666666666666,12.333333333333334,6.333333333333333,1.6666666666666667,0.3333333333333333,449.3333333333333,0.3333333333333333,1.0,11280,4.666666666666667,13.176666666666666,48.61,56.33333333333333,28.666666666666668,49.61999999999999,24.75333333333333,7
1150053000,강서구,등촌2동,0.92,5.0,0.0,1.6666666666666667,1.0,0.6666666666666666,12.333333333333334,6.333333333333333,1.6666666666666667,0.3333333333333333,449.3333333333333,0.3333333333333333,0.0,6573,4.666666666666667,9.456666666666667,48.61,56.33333333333333,28.666666666666668,49.61999999999999,24.75333333333333,3
1150053500,강서구,등촌3동,0.79,5.0,0.0,1.6666666666666667,1.0,0.6666666666666666,12.333333333333334,6.333333333333333,1.6666666666666667,0.3333333333333333,449.3333333333333,0.3333333333333333,0.0,8422,4.666666666666667,28.98666666666667,48.61,56.33333333333333,28.666666666666668,49.61999999999999,24.75333333333333,5
1150054000,강서구,화곡1동,1.12,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,20429,2.75,12.675,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,3
1150055000,강서구,화곡2동,0.45,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,5465,2.75,14.535000000000002,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,7
1150056000,강서구,화곡3동,0.53,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,6422,2.75,4.305000000000001,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,5
1150057000,강서구,화곡4동,0.82,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,6123,2.75,12.675,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,3
1150059000,강서구,화곡본동,0.98,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,12546,2.75,17.325000000000003,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,3
1150059100,강서구,화곡6동,1.11,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,8822,2.75,18.255000000000003,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,3
1150059300,강서구,화곡8동,0.53,4.75,1.125,2.25,2.875,0.625,7.0,2.0,0.75,0.125,168.5,0.25,0.0,7987,2.75,13.605000000000002,31.662499999999998,41.875,40.75,49.3125,20.131249999999998,5
1150060300,강서구,가양1동,4.7,5.25,0.0,2.25,2.25,0.75,20.0,3.25,1.75,0.0,674.0,0.5,0.0,17036,4.5,35.99,49.457499999999996,87.0,33.75,63.775,37.0825,9
1150060400,강서구,가양2동,1.0,2.75,0.0,0.75,0.25,0.25,5.0,1.25,0.0,0.0,337.0,0.5,0.0,3928,0.5,6.6450000000000005,8.5825,14.5,8.0,18.6,7.24,9
1150060500,강서구,가양3동,0.5,2.75,0.0,0.75,0.25,0.25,5.0,1.25,0.0,0.0,337.0,0.5,0.0,4691,0.5,11.295,8.5825,14.5,8.0,18.6,7.24,3
1150061100,강서구,발산1동,2.94,7.0,1.0,4.5,2.5,1.5,23.0,5.0,2.75,0.0,2359.0,0.5,0.0,8679,7.0,43.865,146.82999999999998,108.0,51.75,95.685,49.122499999999995,3
1150061500,강서구,우장산동,1.36,7.25,2.125,5.25,3.375,1.625,15.0,5.0,1.75,0.125,842.5,0.75,0.0,10389,4.75,20.505000000000003,136.9175,77.375,64.75,99.82249999999999,36.651250000000005,5
1150062000,강서구,공항동,10.87,9.75,0.75,3.5,3.5,2.25,20.75,5.5,2.25,0.5,5392.0,0.5,0.0,9799,9.5,42.57,69.41499999999999,109.75,63.25,88.445,60.87,9
1150063000,강서구,방화1동,1.48,8.75,0.75,3.5,3.5,2.25,20.75,5.5,2.25,0.5,1348.0,0.5,0.0,11222,9.5,26.76,69.41499999999999,108.75,63.25,85.565,60.12,5
1150064000,강서구,방화2동,6.41,4.75,0.25,1.5,0.5,1.75,3.75,2.0,0.5,0.0,1685.0,1.5,0.0,7261,3.5,26.245,21.235,25.75,42.5,25.58,16.2825,9
1150064100,강서구,방화3동,2.55,3.75,0.25,1.5,0.5,1.75,3.75,2.0,0.5,0.0,337.0,0.5,0.0,5973,3.5,15.705000000000002,21.235,25.75,26.5,25.58,15.5325,9
1153051000,구로구,신도림동,1.47,5.0,0.0,5.0,0.0,2.0,8.0,7.0,3.0,1.0,1935.0,0.0,1.0,10498,2.0,29.51,75.09999999999998,101.0,79.0,69.4,27.79,3
1153052000,구로구,구로1동,1.02,7.8,1.2,1.4,2.0,0.4,7.8,4.0,1.2,0.2,387.0,0.0,0.0,6607,2.8,10.744000000000002,27.379999999999995,71.2,147.8,61.519999999999996,29.254000000000005,3
1153053000,구로구,구로2동,1.76,7.8,1.2,1.4,2.0,0.4,7.8,4.0,1.2,0.2,387.0,0.0,0.0,7804,2.8,22.834,27.379999999999995,71.2,147.8,61.519999999999996,29.254000000000005,4
1153054000,구로구,구로3동,1.02,7.8,1.2,1.4,2.0,0.4,7.8,4.0,1.2,0.2,387.0,0.0,0.0,9567,2.8,22.834,27.379999999999995,71.2,147.8,61.519999999999996,29.254000000000005,4
1153055000,구로구,구로4동,0.46,7.8,1.2,1.4,2.0,0.4,7.8,4.0,1.2,0.2,387.0,0.0,0.0,6501,2.8,13.534,27.379999999999995,71.2,147.8,61.519999999999996,29.254000000000005,7
1153056000,구로구,구로5동,1.03,7.8,1.2,1.4,2.0,0.4,7.8,4.0,1.2,0.2,387.0,0.0,0.0,11293,2.8,17.254,27.379999999999995,71.2,147.8,61.519999999999996,29.254000000000005,4
1153059500,구로구,가리봉동,0.4,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1935.0,0.0,0.0,3732,0.0,3.7800000000000002,3.8999999999999995,11.0,209.0,18.22,8.41,4
1153072000,구로구,고척1동,1.16,3.5,1.0,2.5,0.5,1.5,6.5,7.0,0.5,0.5,967.5,0.5,0.0,6003,2.0,19.830000000000002,37.15,92.5,159.5,45.339999999999996,23.095,3
1153073000,구로구,고척2동,1.02,3.5,1.0,2.5,0.5,1.5,6.5,7.0,0.5,0.5,967.5,0.5,0.0,6634,2.0,20.76,37.15,92.5,159.5,45.339999999999996,23.095,3
1153074000,구로구,개봉1동,1.31,3.0,0.3333333333333333,2.0,1.0,0.6666666666666666,5.0,1.6666666666666667,0.0,0.0,645.0,0.3333333333333333,0.0,9706,0.3333333333333333,21.61,32.33666666666666,77.33333333333334,96.66666666666664,40.39333333333333,17.08333333333333,4
1153075000,구로구,개봉2동,0.8,3.0,0.3333333333333333,2.0,1.0,0.6666666666666666,5.0,1.6666666666666667,0.0,0.0,645.0,0.3333333333333333,0.0,8048,0.3333333333333333,16.03,32.33666666666666,77.33333333333334,96.66666666666664,40.39333333333333,17.08333333333333,4
1153076000,구로구,개봉3동,0.81,3.0,0.3333333333333333,2.0,1.0,0.6666666666666666,5.0,1.6666666666666667,0.0,0.0,645.0,0.3333333333333333,0.0,5244,0.3333333333333333,9.520000000000001,32.33666666666666,77.33333333333334,96.66666666666664,40.39333333333333,17.08333333333333,4
1153077000,구로구,오류1동,0.59,4.0,0.5,1.5,0.0,0.0,5.0,1.0,1.0,0.0,967.5,0.5,0.0,8619,0.5,9.73,23.4,48.5,145.0,35.76,17.565,4
1153078000,구로구,오류2동,3.2,7.0,0.5,2.5,0.0,0.0,7.0,1.0,1.0,0.0,2902.5,0.5,0.0,9526,1.5,28.87,57.86999999999999,78.5,168.0,50.98,22.705,8
1153079000,구로구,수궁동,2.67,3.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3870.0,1.0,0.0,6275,0.0,28.28,23.05,17.0,135.0,18.16,20.21,10
1153080000,구로구,항동,1.4,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1935.0,1.0,0.0,5119,2.0,27.87,25.7,104.0,13.0,4.76,13.24,8
1154551000,금천구,가산동,2.52,19.0,1.0,1.0,8.0,4.0,24.0,13.0,9.0,4.0,1876.0,0.0,0.0,13371,9.0,71.58000000000001,25.2,29.0,94.0,98.08,131.04,2
1154561000,금천구,독산1동,2.09,5.25,1.25,2.25,2.25,0.75,5.25,3.5,0.25,0.0,469.0,0.75,0.0,18066,0.75,40.485,26.72,48.5,135.5,42.33,24.765,8
1154562000,금천구,독산2동,0.6,5.25,1.25,2.25,2.25,0.75,5.25,3.5,0.25,0.0,469.0,0.75,0.0,5665,0.75,4.215,26.72,48.5,135.5,42.33,24.765,5
1154563000,금천구,독산3동,0.92,5.25,1.25,2.25,2.25,0.75,5.25,3.5,0.25,0.0,469.0,0.75,0.0,8206,0.75,12.584999999999999,26.72,48.5,135.5,42.33,24.765,3
1154564000,금천구,독산4동,0.59,5.25,1.25,2.25,2.25,0.75,5.25,3.5,0.25,0.0,469.0,0.75,0.0,4541,0.75,8.865,26.72,48.5,135.5,42.33,24.765,5
1154567000,금천구,시흥1동,1.71,3.2,0.8,1.4,0.4,0.0,4.6,1.2,0.4,0.2,375.2,0.2,0.0,9871,1.0,21.854,25.445999999999998,32.6,90.4,41.891999999999996,14.024,8
1154568000,금천구,시흥2동,1.26,3.2,0.8,1.4,0.4,0.0,4.6,1.2,0.4,0.2,375.2,0.2,0.0,4739,1.0,13.484,25.445999999999998,32.6,90.4,41.891999999999996,14.024,8
1154569000,금천구,시흥3동,1.07,3.2,0.8,1.4,0.4,0.0,4.6,1.2,0.4,0.2,375.2,0.2,0.0,2776,1.0,13.484,25.445999999999998,32.6,90.4,41.891999999999996,14.024,8
1154570000,금천구,시흥4동,0.87,3.2,0.8,1.4,0.4,0.0,4.6,1.2,0.4,0.2,375.2,0.2,0.0,5302,1.0,12.553999999999998,25.445999999999998,32.6,90.4,41.891999999999996,14.024,4
1154571000,금천구,시흥5동,1.39,3.2,0.8,1.4,0.4,0.0,4.6,1.2,0.4,0.2,375.2,0.2,0.0,4781,1.0,18.134,25.445999999999998,32.6,90.4,41.891999999999996,14.024,8
1156051500,영등포구,영등포본동,1.02,3.0,1.7142857142857144,2.2142857142857144,0.0,0.5,4.857142857142858,2.428571428571429,0.1428571428571428,0.1428571428571428,2098.285714285714,0.5,1.0,6455,4.642857142857142,13.4,29.82928571428571,58.57142857142858,45.64285714285714,39.01571428571428,18.63642857142857,4
1156053500,영등포구,영등포동,1.26,11.0,1.0,5.5,12.0,3.5,14.0,4.0,8.0,1.0,27744.0,1.5,1.0,15481,23.5,20.35,55.235,131.0,165.5,157.32999999999998,82.17500000000001,7
