,구이름,행정동,SUBWAY_NUM,STARBUCKS_NUM,SPORT_NUM,SAFE_DLVR_NUM,MC_NUM,KINDER_NUM,KIDS_NUM,GYM_NUM,GOLF_NUM,ACADEMY_NUM,ANIMAL_HSPT_NUM,BIKE_NUM,CAFE,CAR_SHR_NUM,CCTV_NUM,CHILD_MED_NUM,CON_NUM,DPTM_NUM
36,용산구,원효로제1동,0.0,1.0,0.0,1.0,0.0,20.0,0.0,6.0,3.0,24.0,6.0,9.0,26.0,4.0,16.0,5.0,9.0,0.0
37,용산구,원효로제2동,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,26.0,4.0,7.0,16.0,2.0,24.0,1.0,8.0,0.0
38,용산구,효창동,0.0,1.0,0.0,2.0,0.0,20.0,0.0,1.0,0.0,22.0,4.0,2.0,8.0,1.0,13.0,2.0,5.0,0.0
39,용산구,용문동,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,21.0,2.0,1.0,13.0,3.0,12.0,2.0,4.0,0.0
40,용산구,한강로동,7.0,6.0,0.0,0.0,0.0,50.0,4.0,8.0,4.0,11.0,4.0,23.0,120.0,13.0,36.0,3.0,19.0,1.0
41,용산구,이촌제1동,0.0,0.5,0.75,0.0,0.0,10.0,0.0,1.5,1.0,11.0,2.0,2.75,4.25,0.25,7.0,2.25,1.75,0.0
42,용산구,이촌제2동,0.0,0.5,0.75,0.0,0.0,10.0,0.0,1.5,1.0,11.0,2.0,2.75,4.25,0.25,7.0,2.25,1.75,0.0
43,용산구,이태원제1동,0.25,0.5,0.0,0.25,0.0,5.0,0.0,2.25,0.25,2.5,1.5,1.5,10.5,1.5,12.25,1.25,4.25,0.0
44,용산구,이태원제2동,0.25,0.5,0.0,0.25,0.0,5.0,0.0,2.25,0.25,2.5,1.5,1.5,10.5,1.5,12.25,1.25,4.25,0.0
45,용산구,한남동,2.0,2.0,1.0,1.0,0.0,10.0,0.0,26.0,3.0,19.0,10.0,13.0,66.0,9.0,43.0,5.0,11.0,0.0
46,용산구,서빙고동,1.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,14.0,0.0,7.0,10.0,0.0,34.0,0.0,5.0,0.0
47,용산구,보광동,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,14.0,4.0,1.0,10.0,4.0,51.0,3.0,5.0,0.0
48,성동구,왕십리제2동,0.25,0.5,0.0,0.25,0.0,10.0,0.0,2.0,1.0,17.5,1.5,2.0,7.0,0.5,7.25,1.25,2.75,0.0
49,성동구,왕십리도선동,0.25,1.5,0.0,0.25,0.0,20.0,0.0,11.0,2.0,42.5,5.5,6.0,30.0,3.5,42.25,20.25,11.75,0.0
50,성동구,마장동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,24.0,2.0,10.0,9.0,5.0,92.0,20.0,7.0,0.0
51,성동구,사근동,1.4444444444444444,0.2222222222222222,0.0,1.2222222222222223,0.1111111111111111,2.2222222222222223,0.2222222222222222,1.222222222222222,0.6666666666666666,16.77777777777778,1.7777777777777777,4.444444444444445,15.555555555555557,4.777777777777778,36.0,6.777777777777778,9.88888888888889,0.0
52,성동구,행당제1동,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,2.2222222222222223,0.2222222222222222,1.222222222222222,0.6666666666666666,14.777777777777779,1.7777777777777777,1.4444444444444444,6.555555555555556,0.7777777777777778,7.0,4.777777777777778,2.888888888888889,0.0
53,성동구,행당제2동,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,2.2222222222222223,0.2222222222222222,1.222222222222222,0.6666666666666666,14.777777777777779,1.7777777777777777,1.4444444444444444,6.555555555555556,0.7777777777777778,7.0,4.777777777777778,2.888888888888889,0.0
54,성동구,응봉동,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,3.0,2.0,0.0,24.0,4.0,3.0,0.0
55,성동구,금호1가동,1.0,0.0,2.0,0.0,0.0,10.0,0.0,3.0,2.0,44.0,0.0,1.0,12.0,0.0,16.0,20.0,3.0,0.0
56,성동구,금호2.3가동,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,38.0,4.0,5.0,16.0,2.0,43.0,30.0,6.0,0.0
57,성동구,금호4가동,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,30.0,6.0,5.0,12.0,3.0,33.0,24.0,5.0,0.0
58,성동구,옥수동,2.0,1.0,0.0,0.0,0.0,20.0,0.0,11.0,3.0,60.0,8.0,2.0,16.0,3.0,14.0,28.0,7.0,0.0
59,성동구,성수1가제1동,0.25,0.5,0.0,0.5,0.0,5.0,0.25,3.25,1.75,13.75,1.5,3.75,26.75,1.25,14.5,9.0,6.0,0.0
60,성동구,성수1가제2동,0.25,0.5,0.0,0.5,0.0,5.0,0.25,3.25,1.75,13.75,1.5,3.75,26.75,1.25,14.5,9.0,6.0,0.0
61,성동구,성수2가제1동,0.0,1.0,0.0,0.5,0.25,2.5,0.25,4.75,2.25,8.0,1.0,4.0,29.75,1.5,24.0,12.0,10.75,0.0
62,성동구,성수2가제3동,0.0,1.0,0.0,0.5,0.25,2.5,0.25,4.75,2.25,8.0,1.0,4.0,29.75,1.5,24.0,12.0,10.75,0.0
63,성동구,송정동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.5,0.5,1.5,2.5,0.75,7.5,1.0,1.25,0.0
64,성동구,용답동,2.0,0.0,4.0,1.0,0.0,10.0,0.0,3.25,2.0,12.5,0.5,11.5,27.5,6.75,47.5,13.0,9.25,0.0
65,광진구,화양동,2.0,3.0,0.0,1.0,1.0,0.0,1.0,16.0,4.0,27.0,4.0,9.0,95.0,7.0,40.0,12.0,33.0,0.0
66,광진구,군자동,0.0,2.0,0.0,0.0,0.0,40.0,1.0,13.0,3.0,29.0,4.0,11.0,46.0,3.0,48.0,8.0,11.0,0.0
67,광진구,중곡제1동,0.0,0.125,0.0,0.3125,0.0,1.25,0.25,1.6875,0.625,8.875,0.875,0.625,6.625,0.5,8.75,2.3125,3.1875,0.0
68,광진구,중곡제2동,0.0,0.125,0.0,0.3125,0.0,1.25,0.25,1.6875,0.625,8.875,0.875,0.625,6.625,0.5,8.75,2.3125,3.1875,0.0
69,광진구,중곡제3동,0.0,0.125,0.0,0.3125,0.0,1.25,0.25,1.6875,0.625,8.875,0.875,0.625,6.625,0.5,8.75,2.3125,3.1875,0.0
70,광진구,중곡제4동,0.0,0.125,0.0,0.3125,0.0,1.25,0.25,1.6875,0.625,8.875,0.875,0.625,6.625,0.5,8.75,2.3125,3.1875,0.0
71,광진구,능동,2.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,12.0,4.0,6.0,28.0,1.0,37.0,3.0,14.0,0.0
72,광진구,광장동,0.0,1.0,0.0,0.0,0.0,50.0,0.0,10.0,3.0,111.0,6.0,8.0,38.0,1.0,33.0,6.0,13.0,0.0
73,광진구,자양제1동,0.0,0.3125,0.0,0.3125,0.0625,5.0,0.3125,2.5,1.3125,13.0,1.125,1.5,9.0625,1.5,9.8125,1.5,3.6875,0.0625
74,광진구,자양제2동,0.0,0.3125,0.0,0.3125,0.0625,5.0,0.3125,2.5,1.3125,13.0,1.125,1.5,9.0625,1.5,9.8125,1.5,3.6875,0.0625
75,광진구,자양제3동,0.0,0.3125,0.0,0.3125,0.0625,5.0,0.3125,2.5,1.3125,13.0,1.125,1.5,9.0625,1.5,9.8125,1.5,3.6875,0.0625
76,광진구,자양제4동,0.0,0.3125,0.0,0.3125,0.0625,5.0,0.3125,2.5,1.3125,13.0,1.125,1.5,9.0625,1.5,9.8125,1.5,3.6875,0.0625
77,광진구,구의제1동,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.0,7.777777777777778,0.0,4.555555555555555,2.0,28.0,0.8888888888888888,2.2222222222222223,15.333333333333334,1.0,17.22222222222222,3.5555555555555554,5.666666666666667,0.0
78,광진구,구의제2동,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.0,7.777777777777778,0.0,4.555555555555555,2.0,28.0,0.8888888888888888,2.2222222222222223,15.333333333333334,1.0,17.22222222222222,3.5555555555555554,5.666666666666667,0.0
79,광진구,구의제3동,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.0,7.777777777777778,0.0,4.555555555555555,2.0,28.0,0.8888888888888888,2.2222222222222223,15.333333333333334,1.0,17.22222222222222,3.5555555555555554,5.666666666666667,0.0
80,동대문구,용신동,5.0,1.0,0.0,1.0,0.0,30.0,0.0,10.0,9.0,41.0,8.0,14.0,57.0,11.0,120.0,16.0,32.0,0.0
81,동대문구,제기동,0.0,0.0,0.0,1.0,0.0,10.0,0.0,9.0,2.0,35.0,0.0,5.0,29.0,3.0,96.0,6.0,17.0,0.0
82,동대문구,전농제1동,0.0,0.25,0.0,0.25,0.25,17.5,0.25,2.5,1.0,25.5,1.5,4.25,15.25,2.5,27.0,9.75,7.25,0.0
83,동대문구,전농제2동,0.0,0.25,0.0,0.25,0.25,17.5,0.25,2.5,1.0,25.5,1.5,4.25,15.25,2.5,27.0,9.75,7.25,0.0
84,동대문구,답십리제1동,0.0,0.25,0.0,0.25,0.0,20.0,0.25,3.5,1.5,24.5,3.0,2.75,10.25,1.75,25.25,12.0,6.75,0.0
85,동대문구,답십리제2동,0.0,0.25,0.0,0.25,0.0,20.0,0.25,3.5,1.5,24.5,3.0,2.75,10.25,1.75,25.25,12.0,6.75,0.0
86,동대문구,장안제1동,0.0,0.25,0.25,0.5,0.25,22.5,0.75,6.75,4.0,53.0,4.0,2.75,21.75,3.25,31.5,13.0,14.25,0.0
87,동대문구,장안제2동,0.0,0.25,0.25,0.5,0.25,22.5,0.75,6.75,4.0,53.0,4.0,2.75,21.75,3.25,31.5,13.0,14.25,0.0
88,동대문구,청량리동,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,23.0,4.0,10.0,16.0,4.0,43.0,13.0,7.0,0.0
89,동대문구,회기동,0.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,14.0,2.0,3.0,38.0,3.0,62.0,8.0,11.0,0.0
90,동대문구,휘경제1동,0.75,0.0,0.0,0.5,0.0,10.0,0.25,3.0,1.5,12.25,1.0,3.5,9.25,1.0,25.5,7.25,5.25,0.0
