GU_DONG,BUS_CNT
서초구반포4동,18
서초구반포동,23
서초구반포본동,4
서초구방배1동,14
서초구방배2동,20
서초구방배3동,26
서초구방배4동,18
서초구방배동,48
서초구방배본동,14
서초구서초1동,24
서초구서초2동,30
서초구서초3동,42
서초구서초4동,31
서초구서초동,42
서초구신원동,3
서초구양재1동,46
서초구양재2동,32
서초구양재동,13
서초구염곡동,2
서초구우면동,1
서초구잠원동,21
성동구금호1가동,18
성동구금호2.3가동,18
성동구금호4가동,15
성동구금호동1가,19
성동구금호동2가,3
성동구금호동3가,8
성동구금호동4가,11
성동구도선동,1
성동구마장동,21
성동구사근동,11
성동구성수1가1동,20
성동구성수1가2동,9
성동구성수2가1동,14
성동구성수2가3동,8
성동구성수동1가,3
성동구성수동2가,17
성동구송정동,12
성동구옥수동,28
성동구왕십리2동,12
성동구왕십리도선동,16
성동구용답동,9
성동구응봉동,21
성동구행당1동,15
성동구행당2동,12
성동구행당동,15
성동구홍익동,2
성북구길음1동,17
성북구길음2동,14
성북구길음동,10
성북구돈암1동,11
성북구돈암2동,12
성북구돈암동,16
성북구동선동,10
성북구동선동2가,2
성북구동소문동1가,3
성북구동소문동2가,1
성북구동소문동4가,2
성북구동소문동7가,1
성북구보문동,4
성북구보문동1가,1
성북구보문동2가,1
성북구보문동5가,1
성북구삼선동,26
성북구삼선동2가,2
성북구삼선동3가,1
성북구삼선동4가,1
성북구삼선동5가,1
성북구상월곡동,5
성북구석관동,16
성북구성북동,22
성북구성북동1가,4
성북구안암동,13
성북구안암동1가,1
성북구안암동2가,2
성북구안암동4가,1
성북구안암동5가,7
성북구월곡1동,14
성북구월곡2동,16
성북구장위1동,28
성북구장위2동,13
성북구장위3동,14
성북구장위동,23
성북구정릉1동,12
성북구정릉2동,22
성북구정릉3동,14
성북구정릉4동,19
성북구정릉동,35
성북구종암동,37
성북구하월곡동,12
송파구가락1동,8
송파구가락2동,8
송파구가락동,24
송파구가락본동,10
송파구거여1동,3
송파구거여2동,9
송파구거여동,3
송파구마천1동,8
송파구마천2동,4
송파구마천동,7
송파구문정1동,7
송파구문정2동,14
송파구문정동,23
송파구방이1동,4
송파구방이2동,8
송파구방이동,13
송파구삼전동,10
송파구석촌동,14
송파구송파1동,7
송파구송파2동,6
송파구송파동,6
송파구신천동,7
송파구오금동,24
송파구오륜동,15
송파구위례동,2
송파구잠실2동,7
송파구잠실3동,20
송파구잠실4동,5
송파구잠실6동,11
송파구잠실7동,2
송파구잠실동,10
송파구잠실본동,10
송파구장지동,43
송파구풍납1동,5
송파구풍납2동,21
송파구풍납동,4
양천구목1동,10
양천구목2동,13
양천구목3동,9
양천구목4동,8
양천구목5동,21
양천구목동,32
양천구신월1동,8
양천구신월2동,8
양천구신월3동,4
양천구신월4동,6
양천구신월5동,6
양천구신월6동,7
양천구신월7동,15
양천구신월동,20
양천구신정1동,10
양천구신정2동,8
양천구신정3동,33
양천구신정4동,5
양천구신정6동,9
양천구신정7동,8
양천구신정동,54
영등포구당산1동,14
영등포구당산2동,20
영등포구당산동,3
영등포구당산동1가,1
영등포구당산동2가,2
영등포구당산동3가,1
영등포구당산동4가,2
영등포구당산동5가,5
영등포구당산동6가,3
영등포구대림1동,10
영등포구대림2동,7
영등포구대림3동,20
영등포구대림동,17
영등포구도림동,17
영등포구문래동,25
영등포구문래동2가,1
영등포구문래동3가,2
영등포구문래동4가,2
영등포구문래동5가,3
영등포구문래동6가,2
영등포구신길1동,13
영등포구신길3동,14
영등포구신길4동,7
영등포구신길5동,12
영등포구신길6동,16
영등포구신길7동,17
영등포구신길동,28
영등포구양평1동,8
영등포구양평2동,17
영등포구양평동1가,7
영등포구양평동2가,2
영등포구양평동3가,6
영등포구양평동4가,3
영등포구양평동6가,1
영등포구여의도동,23
영등포구여의동,33
영등포구영등포동,18
영등포구영등포동1가,1
영등포구영등포동2가,2
영등포구영등포동3가,3
영등포구영등포동4가,4
영등포구영등포동5가,3
영등포구영등포동6가,4
영등포구영등포동7가,6
영등포구영등포동8가,5
영등포구영등포본동,13
용산구갈월동,7
용산구남영동,7
용산구도원동,3
용산구동빙고동,5
용산구동자동,2
용산구문배동,1
용산구보광동,10
용산구산천동,2
용산구서계동,1
용산구서빙고동,13
용산구신계동,2
용산구신창동,1
용산구용문동,8
용산구용산2가동,12
용산구용산동1가,3
용산구용산동2가,5
용산구용산동4가,1
용산구용산동5가,1
용산구용산동6가,3
용산구원효로1동,16
용산구원효로2동,10
용산구원효로3가,1
용산구원효로4가,1
용산구이촌1동,11
용산구이촌2동,7
용산구이촌동,10
용산구이태원1동,11
용산구이태원2동,10
용산구이태원동,9
용산구청암동,2
용산구청파동,15
용산구청파동2가,5
용산구한강로1가,1
용산구한강로2가,3
용산구한강로3가,2
용산구한강로동,24
용산구한남동,31
용산구효창동,11
용산구후암동,11
은평구갈현1동,18
은평구갈현2동,18
은평구갈현동,27
은평구구산동,22
은평구녹번동,23
은평구대조동,26
은평구불광1동,18
은평구불광2동,15
은평구불광동,14
은평구수색동,10
은평구신사1동,15
은평구신사2동,18
은평구신사동,6
은평구역촌동,32
은평구응암1동,14
은평구응암2동,17
은평구응암3동,12
은평구응암동,16
은평구증산동,9
은평구진관동,50
종로구가회동,9
종로구견지동,2
종로구계동,5
종로구교남동,13
종로구교북동,2
종로구구기동,10
종로구내자동,2
종로구명륜1가,4
종로구명륜2가,4
종로구명륜3가,7
종로구명륜4가,1
종로구묘동,1
종로구무악동,5
종로구부암동,9
종로구사직동,16
종로구삼청동,11
종로구세종로,1
종로구소격동,1
종로구숭인1동,7
종로구숭인2동,6
종로구숭인동,3
종로구신문로1가,1
종로구신문로2가,1
종로구신영동,4
종로구연건동,4
종로구예지동,1
종로구운니동,1
종로구원남동,1
종로구원서동,3
종로구이화동,12
종로구재동,3
종로구종로1.2.3.4가동,48
종로구종로2가,2
종로구종로4가,1
종로구종로5.6가동,11
종로구종로5가,3
종로구종로6가,1
종로구창신1동,5
종로구창신2동,2
종로구창신3동,3
종로구창신동,3
종로구청운동,1
종로구청운효자동,14
종로구체부동,1
종로구충신동,1
종로구통의동,1
종로구팔판동,1
종로구평동,2
종로구평창동,37
종로구행촌동,3
종로구혜화동,9
종로구홍지동,7
종로구화동,1
중구광희동,16
중구남대문로3가,2
중구남대문로5가,4
중구남산동1가,1
중구남창동,1
중구다산동,3
중구동화동,1
중구만리동2가,2
중구명동,32
중구봉래동1가,1
중구봉래동2가,2
중구서소문동,2
중구소공동,24
중구순화동,1
중구신당1동,2
중구신당2동,2
중구신당3동,1
중구신당4동,3
중구신당5동,4
중구신당6동,1
중구신당동,17
중구쌍림동,1
중구약수동,5
중구예장동,1
중구을지로1가,1
중구을지로2가,2
중구을지로3가,1
중구을지로4가,1
중구을지로5가,1
중구을지로7가,2
중구을지로동,14
중구의주로1가,4
중구장충동,9
중구장충동1가,2
중구장충동2가,2
중구중림동,7
중구청구동,1
중구충무로1가,2
중구충정로1가,1
중구태평로2가,1
중구필동,4
중구필동1가,2
중구필동2가,1
중구황학동,6
중구회현동,21
중구흥인동,1
중랑구망우3동,4
중랑구망우동,18
중랑구망우본동,30
중랑구면목2동,16
중랑구면목3.8동,11
중랑구면목4동,7
중랑구면목5동,9
중랑구면목7동,10
중랑구면목동,29
중랑구면목본동,10
중랑구묵1동,17
중랑구묵2동,8
중랑구묵동,16
중랑구상봉1동,10
중랑구상봉2동,7
중랑구상봉동,4
중랑구신내1동,28
중랑구신내2동,9
중랑구신내동,16
중랑구중화1동,7
중랑구중화2동,13
중랑구중화동,13
