"VEGAN_CODE","VEGAN_NAME","STD_DAY","CATE_CODE","GU","DONG","GU_CODE","DONG_CODE","ADD_STR","LAT","LON","SI_DO_CODE","SI_DO"
4590,"본죽 개포동역점","2022-11-02","H113","강남구","개포동",11230,1168010300,"서울특별시 강남구 개포로 510 (개포동)  현대빌딩 104호",37.4892996,127.0683524,11,"서울특별시"
4591,"베지그린","2022-11-02","H113","강남구","개포동",11230,1168010300,"서울특별시 강남구 개포로20길 24-10",37.4769861,127.0473742,11,"서울특별시"
4592,"러빙헛 카페","2022-11-02","H113","강남구","개포동",11230,1168010300,"서울특별시 강남구 개포로22길 35",37.4769037,127.0494443,11,"서울특별시"
5033,"본죽 암사롯데팰리스점","2022-11-02","H113","강동구","암사동",11250,1174010700,"서울특별시 강동구 고덕로 140 (암사동)  프라이어팰리스상가 104호",37.5548669,127.1405369,11,"서울특별시"
4260,"한살림 암사매장","2022-11-02","H113","강동구","암사동",11250,1174010700,"서울특별시 강동구 고덕로 109 1층",37.5549622,127.1375479,11,"서울특별시"
5348,"본 죽&비빔밥 불광역아울렛점","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 불광로 16 (대조동) 1층",37.6096794,126.9282443,11,"서울특별시"
5349,"본 죽&비빔밥 구산역점","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 서오릉로 134 (대조동, 메디칼) 1층 ",37.6110284,126.9180993,11,"서울특별시"
5350,"경복궁 우동냉면","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 통일로 725-1",37.6103414,126.9297072,11,"서울특별시"
4472,"도원","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 통일로65길 13",37.6089332,126.9294216,11,"서울특별시"
4473,"본래순대(연신내역점)","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 통일로 803-1 (대조동) ",37.6157161,126.9242725,11,"서울특별시"
4474,"일품간장게장","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 진흥로 125",37.6078489,126.9241366,11,"서울특별시"
4475,"대조 순대국","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 진흥로 159 (대조동)",37.6091143,126.9275389,11,"서울특별시"
4476,"본가옛날순대","2022-11-02","H113","은평구","대조동",11120,1138010600,"서울특별시 은평구 불광로 21 (대조동) ",37.6103571,126.9284611,11,"서울특별시"
4944,"후문첫집","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 망우로18다길 44",37.5853369,127.0608615,11,"서울특별시"
4945,"본죽 위생병원점","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 망우로21가길 4 (휘경동) ",37.5906298,127.0624708,11,"서울특별시"
4946,"본도시락 회기점","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 이문로 36 1층",37.5906729,127.0565709,11,"서울특별시"
4947,"초록뜰","2022-11-02","H113","동대문구","휘경동",11060,1123010900,"서울특별시 동대문구 망우로18길 6",37.5896288,127.0623588,11,"서울특별시"
