,GU,DONG,20~24세,25~29세,30~34세,35~39세,인구수
394,송파구,가락본동,1609,2332,2433,2237,8611
395,송파구,가락1동,1430,1672,2260,2580,7942
396,송파구,가락2동,1998,2429,2291,2392,9110
397,송파구,문정1동,1236,1885,1823,1635,6579
398,송파구,문정2동,1560,3614,3985,3352,12511
399,송파구,잠실본동,1760,3330,3420,2706,11216
400,송파구,잠실4동,1013,932,976,1771,4692
401,송파구,잠실6동,966,985,953,1212,4116
402,송파구,잠실7동,629,598,455,482,2164
403,송파구,잠실2동,1978,1299,1192,2345,6814
404,송파구,잠실3동,1995,1708,1627,2327,7657
405,송파구,장지동,1854,2155,2251,2410,8670
406,송파구,위례동,1822,1775,2726,4136,10459
407,강동구,강일동,1774,1843,2116,2577,8310
408,강동구,명일1동,1483,1550,1802,2188,7023
409,강동구,명일2동,1094,1165,966,983,4208
410,강동구,고덕1동,1100,1108,1078,1825,5111
411,강동구,고덕2동,1091,1176,1563,2185,6015
412,강동구,암사2동,800,1087,1310,1509,4706
413,강동구,암사3동,983,945,924,1413,4265
414,강동구,천호1동,1478,2218,2090,1894,7680
415,강동구,천호3동,1547,2975,2777,2211,9510
416,강동구,성내1동,1153,1572,1553,1658,5936
417,강동구,성내2동,1265,2555,2354,1956,8130
418,강동구,성내3동,1501,2124,1803,1692,7120
419,강동구,둔촌1동,6,14,5,8,33
420,강동구,둔촌2동,1495,1861,1835,1810,7001
421,강동구,암사1동,2025,2744,2478,2513,9760
422,강동구,천호2동,1787,3193,3342,2883,11205
423,강동구,길동,2661,4368,3994,3463,14486
424,강동구,상일1동,1937,1939,2363,3536,9775
425,강동구,상일2동,776,736,674,7,2193
