,GU,DONG,DONG_CODE,cnt
157,노원구,월계1동,1135056000,0.0
158,노원구,월계2동,1135057000,0.0
159,노원구,월계3동,1135058000,0.0
160,노원구,공릉1동,1135059500,0.0
161,노원구,공릉2동,1135060000,0.0
162,노원구,하계1동,1135061100,0.0
163,노원구,하계2동,1135061200,0.0
164,노원구,중계본동,1135061900,0.0
165,노원구,중계1동,1135062100,0.0
166,노원구,중계4동,1135062400,0.0
167,노원구,중계2.3동,1135062500,0.0
168,노원구,상계1동,1135063000,0.0
169,노원구,상계2동,1135064000,0.0
170,노원구,상계3.4동,1135066500,0.0
171,노원구,상계5동,1135067000,0.0
172,노원구,상계6.7동,1135069500,0.0
173,노원구,상계8동,1135070000,0.0
174,노원구,상계9동,1135071000,0.0
175,노원구,상계10동,1135072000,0.0
176,은평구,녹번동,1138051000,0.0
177,은평구,불광1동,1138052000,1.0
178,은평구,불광2동,1138053000,0.0
179,은평구,갈현1동,1138055100,0.0
180,은평구,갈현2동,1138055200,0.0
181,은평구,구산동,1138056000,0.0
182,은평구,대조동,1138057000,0.0
183,은평구,응암1동,1138058000,0.0
184,은평구,응암2동,1138059000,0.0
185,은평구,응암3동,1138060000,0.0
186,은평구,역촌동,1138062500,0.0
187,은평구,신사1동,1138063100,0.0
188,은평구,신사2동,1138063200,0.0
189,은평구,증산동,1138064000,0.0
190,은평구,수색동,1138065000,0.0
191,은평구,진관동,1138069000,0.0
192,서대문구,천연동,1141052000,0.0
193,서대문구,북아현동,1141055500,0.0
194,서대문구,충현동,1141056500,0.0
195,서대문구,신촌동,1141058500,1.0
196,서대문구,연희동,1141061500,0.0
197,서대문구,홍제1동,1141062000,0.0
198,서대문구,홍제3동,1141064000,0.0
199,서대문구,홍제2동,1141065500,0.0
200,서대문구,홍은1동,1141066000,0.0
201,서대문구,홍은2동,1141068500,0.0
202,서대문구,남가좌1동,1141069000,0.0
203,서대문구,남가좌2동,1141070000,0.0
204,서대문구,북가좌1동,1141071000,0.0
205,서대문구,북가좌2동,1141072000,0.0
206,마포구,아현동,1144055500,0.0
207,마포구,공덕동,1144056500,0.0
208,마포구,도화동,1144058500,0.0
209,마포구,용강동,1144059000,0.0
210,마포구,대흥동,1144060000,1.0
211,마포구,염리동,1144061000,0.0
212,마포구,신수동,1144063000,0.0
213,마포구,서강동,1144065500,0.0
214,마포구,서교동,1144066000,3.0
215,마포구,합정동,1144068000,0.0
216,마포구,망원1동,1144069000,1.0
217,마포구,망원2동,1144070000,0.0
218,마포구,연남동,1144071000,2.0
219,마포구,성산1동,1144072000,2.0
220,마포구,성산2동,1144073000,0.0
221,마포구,상암동,1144074000,0.0
222,양천구,목1동,1147051000,0.0
223,양천구,목2동,1147052000,0.0
224,양천구,목3동,1147053000,0.0
225,양천구,목4동,1147054000,0.0
226,양천구,목5동,1147055000,0.0
227,양천구,신월1동,1147056000,0.0
228,양천구,신월2동,1147057000,0.0
229,양천구,신월3동,1147058000,0.0
230,양천구,신월4동,1147059000,0.0
231,양천구,신월5동,1147060000,0.0
232,양천구,신월6동,1147061000,0.0
233,양천구,신월7동,1147061100,0.0
234,양천구,신정1동,1147062000,0.0
235,양천구,신정2동,1147063000,0.0
236,양천구,신정3동,1147064000,0.0
237,양천구,신정4동,1147065000,0.0
238,양천구,신정6동,1147067000,0.0
239,양천구,신정7동,1147068000,0.0
240,강서구,염창동,1150051000,0.0
241,강서구,등촌1동,1150052000,1.0
242,강서구,등촌2동,1150053000,0.0
243,강서구,등촌3동,1150053500,0.0
244,강서구,화곡1동,1150054000,0.0
245,강서구,화곡2동,1150055000,0.0
246,강서구,화곡3동,1150056000,0.0
247,강서구,화곡4동,1150057000,0.0
248,강서구,화곡본동,1150059000,0.0
249,강서구,화곡6동,1150059100,0.0
250,강서구,화곡8동,1150059300,0.0
251,강서구,가양1동,1150060300,0.0
252,강서구,가양2동,1150060400,0.0
253,강서구,가양3동,1150060500,0.0
254,강서구,발산1동,1150061100,0.0
255,강서구,우장산동,1150061500,0.0
256,강서구,공항동,1150062000,0.0
257,강서구,방화1동,1150063000,0.0
258,강서구,방화2동,1150064000,0.0
259,강서구,방화3동,1150064100,0.0
260,구로구,신도림동,1153051000,1.0
261,구로구,구로1동,1153052000,0.0
262,구로구,구로2동,1153053000,0.0
263,구로구,구로3동,1153054000,0.0
264,구로구,구로4동,1153055000,0.0
265,구로구,구로5동,1153056000,0.0
266,구로구,가리봉동,1153059500,0.0
267,구로구,고척1동,1153072000,0.0
268,구로구,고척2동,1153073000,0.0
269,구로구,개봉1동,1153074000,0.0
270,구로구,개봉2동,1153075000,0.0
271,구로구,개봉3동,1153076000,0.0
272,구로구,오류1동,1153077000,0.0
273,구로구,오류2동,1153078000,0.0
274,구로구,수궁동,1153079000,0.0
275,구로구,항동,1153080000,0.0
276,금천구,가산동,1154551000,0.0
277,금천구,독산1동,1154561000,0.0
278,금천구,독산2동,1154562000,0.0
279,금천구,독산3동,1154563000,0.0
280,금천구,독산4동,1154564000,0.0
281,금천구,시흥1동,1154567000,0.0
282,금천구,시흥2동,1154568000,0.0
283,금천구,시흥3동,1154569000,0.0
284,금천구,시흥4동,1154570000,0.0
285,금천구,시흥5동,1154571000,0.0
286,영등포구,영등포본동,1156051500,1.0
287,영등포구,영등포동,1156053500,1.0
288,영등포구,여의동,1156054000,0.0
289,영등포구,당산1동,1156055000,0.0
290,영등포구,당산2동,1156056000,2.0
291,영등포구,도림동,1156058500,0.0
292,영등포구,문래동,1156060500,1.0
293,영등포구,양평1동,1156061000,0.0
294,영등포구,양평2동,1156062000,0.0
295,영등포구,신길1동,1156063000,0.0
296,영등포구,신길3동,1156065000,0.0
297,영등포구,신길4동,1156066000,0.0
298,영등포구,신길5동,1156067000,0.0
299,영등포구,신길6동,1156068000,0.0
300,영등포구,신길7동,1156069000,1.0
301,영등포구,대림1동,1156070000,0.0
302,영등포구,대림2동,1156071000,0.0
303,영등포구,대림3동,1156072000,0.0
304,동작구,노량진1동,1159051000,0.0
305,동작구,노량진2동,1159052000,0.0
306,동작구,상도1동,1159053000,0.0
307,동작구,상도2동,1159054000,0.0
308,동작구,상도3동,1159055000,0.0
309,동작구,상도4동,1159056000,0.0
310,동작구,흑석동,1159060500,0.0
311,동작구,사당1동,1159062000,0.0
312,동작구,사당2동,1159063000,0.0
313,동작구,사당3동,1159064000,0.0
314,동작구,사당4동,1159065000,0.0
315,동작구,사당5동,1159065100,0.0
316,동작구,대방동,1159066000,0.0
317,동작구,신대방1동,1159067000,0.0
318,동작구,신대방2동,1159068000,0.0
319,관악구,보라매동,1162052500,0.0
320,관악구,청림동,1162054500,0.0
321,관악구,성현동,1162056500,0.0
322,관악구,행운동,1162057500,0.0
323,관악구,낙성대동,1162058500,0.0
324,관악구,청룡동,1162059500,0.0
325,관악구,은천동,1162060500,0.0
326,관악구,중앙동,1162061500,0.0
327,관악구,인헌동,1162062500,0.0
328,관악구,남현동,1162063000,0.0
329,관악구,서원동,1162064500,0.0
330,관악구,신원동,1162065500,1.0
331,관악구,서림동,1162066500,1.0
332,관악구,신사동,1162068500,0.0
333,관악구,신림동,1162069500,0.0
334,관악구,난향동,1162071500,0.0
335,관악구,조원동,1162072500,0.0
336,관악구,대학동,1162073500,1.0
337,관악구,삼성동,1162074500,0.0
338,관악구,미성동,1162076500,0.0
339,관악구,난곡동,1162077500,0.0
340,서초구,서초1동,1165051000,3.0
341,서초구,서초2동,1165052000,2.0
342,서초구,서초3동,1165053000,2.0
343,서초구,서초4동,1165053100,0.0
344,서초구,잠원동,1165054000,0.0
345,서초구,반포본동,1165055000,0.0
346,서초구,반포1동,1165056000,0.0
347,서초구,반포2동,1165057000,0.0
348,서초구,반포3동,1165058000,0.0
349,서초구,반포4동,1165058100,0.0
350,서초구,방배본동,1165059000,0.0
351,서초구,방배1동,1165060000,0.0
352,서초구,방배2동,1165061000,0.0
353,서초구,방배3동,1165062000,0.0
354,서초구,방배4동,1165062100,0.0
355,서초구,양재1동,1165065100,0.0
356,서초구,양재2동,1165065200,0.0
357,서초구,내곡동,1165066000,0.0
358,강남구,신사동,1168051000,3.0
359,강남구,논현1동,1168052100,0.0
360,강남구,논현2동,1168053100,0.0
361,강남구,압구정동,1168054500,0.0
362,강남구,청담동,1168056500,0.0
363,강남구,삼성1동,1168058000,0.0
364,강남구,삼성2동,1168059000,1.0
365,강남구,대치1동,1168060000,0.0
366,강남구,대치2동,1168061000,0.0
367,강남구,대치4동,1168063000,0.0
368,강남구,역삼1동,1168064000,3.0
369,강남구,역삼2동,1168065000,0.0
370,강남구,도곡1동,1168065500,0.0
371,강남구,도곡2동,1168065600,0.0
372,강남구,개포1동,1168066000,0.0
373,강남구,개포2동,1168067000,0.0
374,강남구,개포4동,1168069000,0.0
375,강남구,세곡동,1168070000,0.0
376,강남구,일원본동,1168072000,0.0
377,강남구,일원1동,1168073000,0.0
378,강남구,일원2동,1168074000,0.0
379,강남구,수서동,1168075000,0.0
380,송파구,풍납1동,1171051000,0.0
381,송파구,풍납2동,1171052000,0.0
382,송파구,거여1동,1171053100,0.0
383,송파구,거여2동,1171053200,0.0
384,송파구,마천1동,1171054000,0.0
385,송파구,마천2동,1171055000,0.0
386,송파구,방이1동,1171056100,0.0
387,송파구,방이2동,1171056200,0.0
388,송파구,오륜동,1171056600,0.0
389,송파구,오금동,1171057000,0.0
390,송파구,송파1동,1171058000,0.0
391,송파구,송파2동,1171059000,0.0
392,송파구,석촌동,1171060000,1.0
393,송파구,삼전동,1171061000,0.0
394,송파구,가락본동,1171062000,0.0
395,송파구,가락1동,1171063100,0.0
396,송파구,가락2동,1171063200,1.0
397,송파구,문정1동,1171064100,0.0
398,송파구,문정2동,1171064200,0.0
399,송파구,장지동,1171064600,1.0
400,송파구,위례동,1171064700,0.0
401,송파구,잠실본동,1171065000,0.0
402,송파구,잠실2동,1171067000,0.0
